id,year,count
0,1996,15
1,1997,10
2,1998,48
3,1999,103
4,2000,83
5,2001,154
6,2002,118
7,2003,143
8,2004,215
9,2005,102
10,2006,138
11,2007,284
12,2008,299
13,2009,255
14,2010,274
15,2011,367
16,2012,296
17,2013,476
18,2014,419
19,2015,461
20,2016,514
21,2017,232
22,2018,263
23,2019,2
