id,year,count
0,1996,2
1,1998,1
2,1999,4
3,2000,2
4,2001,4
5,2002,1
6,2003,2
7,2004,5
8,2005,1
9,2006,1
10,2007,3
11,2008,5
12,2009,3
13,2010,7
14,2011,4
15,2012,10
16,2013,8
17,2014,8
18,2015,6
19,2016,5
20,2017,3
21,2018,2
