id,year,fitness_frequency
0,1990,148
1,1991,168
2,1992,159
3,1993,194
4,1994,221
5,1995,221
6,1996,215
7,1997,220
8,1998,258
9,1999,242
10,2000,255
11,2001,219
12,2002,230
13,2003,259
14,2004,229
15,2005,185
16,2006,266
17,2007,294
18,2008,406
19,2009,418
20,2010,489
21,2011,569
22,2012,464
23,2013,314
24,2014,303
25,2015,273
26,2016,274
27,2017,252
28,2018,264
