id,year,fitness_frequency
0,1990,12
1,1991,13
2,1992,18
3,1993,15
4,1994,19
5,1995,29
6,1996,18
7,1997,14
8,1998,21
9,1999,33
10,2000,27
11,2001,32
12,2002,45
13,2003,67
14,2004,66
15,2005,74
16,2006,87
17,2007,160
18,2008,195
19,2009,278
20,2010,304
21,2011,371
22,2012,354
23,2013,224
24,2014,236
25,2015,234
26,2016,227
27,2017,208
28,2018,289
