id,year,fitness_frequency
0,1990,351
1,1991,343
2,1992,313
3,1993,351
4,1994,362
5,1995,315
6,1996,395
7,1997,336
8,1998,406
9,1999,496
10,2000,503
11,2001,453
12,2002,487
13,2003,486
14,2004,469
15,2005,560
16,2006,698
17,2007,700
18,2008,900
19,2009,1064
20,2010,1053
21,2011,1121
22,2012,1066
23,2013,644
24,2014,733
25,2015,944
26,2016,750
27,2017,506
28,2018,626
