id,year,exercise_frequency
0,1990,1903
1,1991,1765
2,1992,1774
3,1993,1760
4,1994,1780
5,1995,1761
6,1996,1683
7,1997,1750
8,1998,2069
9,1999,2206
10,2000,2213
11,2001,2075
12,2002,2322
13,2003,2245
14,2004,2122
15,2005,2003
16,2006,2709
17,2007,2799
18,2008,2897
19,2009,2909
20,2010,3078
21,2011,3191
22,2012,3196
23,2013,2525
24,2014,2522
25,2015,2293
26,2016,2182
27,2017,2175
28,2018,2140
