id,year,depression_frequency
0,1990,962
1,1991,1217
2,1992,1170
3,1993,934
4,1994,901
5,1995,1017
6,1996,998
7,1997,1022
8,1998,1245
9,1999,1265
10,2000,1150
11,2001,1388
12,2002,1183
13,2003,1106
14,2004,1083
15,2005,1038
16,2006,1286
17,2007,1357
18,2008,2543
19,2009,3506
20,2010,2354
21,2011,2180
22,2012,1868
23,2013,1584
24,2014,1392
25,2015,1348
26,2016,1314
27,2017,1089
28,2018,1328
