id,year,count
0,2003,3
1,2004,20
2,2005,30
3,2006,34
4,2007,21
5,2008,128
6,2009,12
7,2010,15
8,2011,17
9,2012,42
10,2013,33
11,2014,37
12,2015,32
13,2016,33
14,2017,19
15,2018,9
