id,year,anxiety_frequency
0,1990,959
1,1991,889
2,1992,883
3,1993,947
4,1994,847
5,1995,753
6,1996,931
7,1997,860
8,1998,1025
9,1999,1026
10,2000,966
11,2001,1321
12,2002,1145
13,2003,1176
14,2004,1023
15,2005,1079
16,2006,1364
17,2007,1437
18,2008,1799
19,2009,1773
20,2010,1910
21,2011,1990
22,2012,1887
23,2013,1663
24,2014,1625
25,2015,1719
26,2016,1837
27,2017,1861
28,2018,1902
