,year,count
0,1998,5
1,1999,1
2,2001,4
3,2002,2
4,2003,1
5,2004,1
6,2005,1
7,2006,1
8,2007,2
9,2008,1
10,2009,2
11,2010,1
12,2011,4
13,2012,3
14,2013,3
15,2014,1
16,2015,1
17,2016,3
