id,year,athletic_trainers
1,1999,16670
2,2000,13820
3,2001,12580
4,2002,13500
5,2003,11750
6,2004,13100
7,2005,15110
8,2006,15440
9,2007,14970
10,2008,15070
11,2009,15260
12,2010,16290
13,2011,18240
14,2012,20780
15,2013,22340
16,2014,22400
17,2015,23450
18,2016,24130
19,2017,25010
