id,year,fittness_trainers
1,1999,127310
2,2000,157230
3,2001,160490
4,2002,169920
5,2003,177790
6,2004,182280
7,2005,189220
8,2006,205970
9,2007,219990
10,2008,229030
11,2009,228170
12,2010,225490
13,2011,231500
14,2012,234070
15,2013,238170
16,2014,241000
17,2015,237760
18,2016,257410
19,2017,280080
