id,year,dietitians_nutritionists
1,1999,41320
2,2000,43030
3,2001,43200
4,2002,45150
5,2003,46190
6,2004,46530
7,2005,48850
8,2006,51230
9,2007,52800
10,2008,53630
11,2009,53220
12,2010,56130
13,2011,56130
14,2012,58240
15,2013,59530
16,2014,59490
17,2015,59740
18,2016,61430
19,2017,62980
