id,year,athletes
1,1999,10620
2,2000,9920
3,2001,10520
4,2002,10400
5,2003,11840
6,2004,12250
7,2005,12230
8,2006,12500
9,2007,12670
10,2008,13960
11,2009,13620
12,2010,12660
13,2011,12630
14,2012,12450
15,2013,13880
16,2014,11520
17,2015,11710
18,2016,10260
19,2017,11150
