id,year,rec_fitness_teachers
1,1999,14970
2,2000,14050
3,2001,14700
4,2002,14650
5,2003,14780
6,2004,15470
7,2005,16530
8,2006,17110
9,2007,17500
10,2008,17410
11,2009,16850
12,2010,17720
13,2011,18660
14,2012,19410
15,2013,18820
16,2014,18650
17,2015,17980
18,2016,17390
19,2017,16630
